Chhattisgarh Quota 2024-25,,,,,,,,,,,,,,,,,,,,,,,
CG (270*.5=135),,,,,,,,,,,,,,,,,,,,,,,
,UR (42%),,,,,ST (32%),,,,,,SC (12%),,,,,OBC (14%),,,,,,
,0,,,,,0,,,,,,0,,,,,0,,,,,,
Branch,OPEN 57%,Female 30%,ExS 5%,FF 3%,PwD 5%,OPEN 55%,Female 30%,ExS 5%,FF 3%,PwD 5%,PVTP 2%,OPEN 57%,Female 30%,ExS 5%,FF 3%,PwD 5%,OPEN 57%,Female 30%,ExS 5%,FF 3%,PwD 5%,,
CSE ,11,5,1,1,1,8,5,0,0,1,1,3,2,0,0,0,4,1,1,0,0,,
DSAI ,10,6,1,0,1,8,4,1,1,1,0,3,2,0,0,1,4,2,0,0,0,,
ECE,11,6,1,1,1,8,4,1,0,0,0,3,1,1,0,0,3,2,0,1,1,,
,32,17,3,2,3,24,13,2,1,2,1,9,5,1,0,1,11,5,1,1,1,,
,57,,,,,43,,,,,,16,,,,,19,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NTPC Quota 2024-25,,,,,,,,,,,,,,,,,,,,,,,
NTPC (90*0.15=13.5 each),,,,,,,,,,,,,,,,,,,,,,,
,UR (50.5%) ,,,,ST (7.5%) ,,,,SC (15%),,,,OBC (27%) ,,,,EWS (10%) ,,,,,,
,12.7575,,,,2.3625,,,,4.725,,,,8.505,,,,3.15,,,,28.35,,
,Gender Neutral,,Female,,Gender Neutral,,Female,,Gender Neutral,,Female,,Gender Neutral,,Female,,Gender Neutral,,Female,,,,
Branch,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,OPEN 95%,PwD 5%,,PwD,OPEN
CSE ,5,1,2,0,1,0,0,0,2,0,0,0,3,0,1,0,1,0,0,0,13,1,12
DSAI ,5,0,1,0,1,0,1,0,2,0,0,0,4,0,1,0,1,0,1,0,13,0,13
ECE,5,0,1,0,1,0,0,0,2,0,1,0,3,1,1,0,2,0,0,0,14,1,13
Total,15,1,4,0,3,0,1,0,6,0,1,0,10,1,3,0,4,0,1,0,,,
,16,,8,,3,,2,,6,,2,,11,,6,,4,,2,,40,,
